[Current] ORDER_STATUS - Takes(s): 9.7, Count: 29, TPM: 178.6, Sum(ms): 87.9, Avg(ms): 3.1, 50th(ms): 3.1, 90th(ms): 4.2, 95th(ms): 4.2, 99th(ms): 8.9, 99.9th(ms): 8.9, Max(ms): 8.9
[Current] PAYMENT - Takes(s): 10.0, Count: 355, TPM: 2131.8, Sum(ms): 3437.9, Avg(ms): 9.7, 50th(ms): 8.9, 90th(ms): 14.7, 95th(ms): 17.8, 99th(ms): 25.2, 99.9th(ms): 41.9, Max(ms): 41.9
[Current] STOCK_LEVEL - Takes(s): 9.7, Count: 36, TPM: 221.8, Sum(ms): 90.7, Avg(ms): 2.5, 50th(ms): 2.6, 90th(ms): 3.1, 95th(ms): 3.1, 99th(ms): 3.7, 99.9th(ms): 3.7, Max(ms): 3.7
[Current] DELIVERY - Takes(s): 9.8, Count: 35, TPM: 214.0, Sum(ms): 704.4, Avg(ms): 20.1, 50th(ms): 19.9, 90th(ms): 23.1, 95th(ms): 23.1, 99th(ms): 29.4, 99.9th(ms): 29.4, Max(ms): 29.4
[Current] NEW_ORDER - Takes(s): 10.0, Count: 356, TPM: 2141.3, Sum(ms): 5248.8, Avg(ms): 14.7, 50th(ms): 13.6, 90th(ms): 18.9, 95th(ms): 24.1, 99th(ms): 46.1, 99.9th(ms): 46.1, Max(ms): 46.1
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 35, TPM: 212.2, Sum(ms): 92.0, Avg(ms): 2.6, 50th(ms): 3.1, 90th(ms): 3.1, 95th(ms): 3.1, 99th(ms): 3.1, 99.9th(ms): 3.1, Max(ms): 3.1
[Current] PAYMENT - Takes(s): 10.0, Count: 368, TPM: 2209.1, Sum(ms): 3515.0, Avg(ms): 9.5, 50th(ms): 8.4, 90th(ms): 11.5, 95th(ms): 16.3, 99th(ms): 33.6, 99.9th(ms): 41.9, Max(ms): 41.9
[Current] STOCK_LEVEL - Takes(s): 9.6, Count: 41, TPM: 256.6, Sum(ms): 101.0, Avg(ms): 2.5, 50th(ms): 2.6, 90th(ms): 3.1, 95th(ms): 3.1, 99th(ms): 3.1, 99.9th(ms): 3.1, Max(ms): 3.1
[Current] DELIVERY - Takes(s): 9.3, Count: 33, TPM: 212.3, Sum(ms): 763.1, Avg(ms): 23.1, 50th(ms): 19.9, 90th(ms): 29.4, 95th(ms): 30.4, 99th(ms): 83.9, 99.9th(ms): 83.9, Max(ms): 83.9
[Current] NEW_ORDER - Takes(s): 10.0, Count: 352, TPM: 2113.7, Sum(ms): 5169.8, Avg(ms): 14.7, 50th(ms): 13.6, 90th(ms): 17.8, 95th(ms): 19.9, 99th(ms): 39.8, 99.9th(ms): 201.3, Max(ms): 201.3
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 26, TPM: 156.7, Sum(ms): 68.3, Avg(ms): 2.7, 50th(ms): 2.6, 90th(ms): 3.1, 95th(ms): 3.7, 99th(ms): 4.2, 99.9th(ms): 4.2, Max(ms): 4.2
[Current] PAYMENT - Takes(s): 9.9, Count: 370, TPM: 2231.7, Sum(ms): 3568.6, Avg(ms): 9.7, 50th(ms): 8.4, 90th(ms): 12.6, 95th(ms): 16.3, 99th(ms): 30.4, 99.9th(ms): 56.6, Max(ms): 56.6
[Current] STOCK_LEVEL - Takes(s): 9.3, Count: 40, TPM: 256.7, Sum(ms): 99.9, Avg(ms): 2.5, 50th(ms): 2.6, 90th(ms): 3.1, 95th(ms): 3.1, 99th(ms): 3.1, 99.9th(ms): 3.1, Max(ms): 3.1
[Current] DELIVERY - Takes(s): 9.9, Count: 37, TPM: 224.3, Sum(ms): 880.1, Avg(ms): 23.8, 50th(ms): 22.0, 90th(ms): 35.7, 95th(ms): 41.9, 99th(ms): 52.4, 99.9th(ms): 52.4, Max(ms): 52.4
[Current] NEW_ORDER - Takes(s): 10.0, Count: 355, TPM: 2133.9, Sum(ms): 5179.0, Avg(ms): 14.6, 50th(ms): 14.2, 90th(ms): 17.8, 95th(ms): 19.9, 99th(ms): 30.4, 99.9th(ms): 96.5, Max(ms): 96.5
[Current] ORDER_STATUS - Takes(s): 9.7, Count: 31, TPM: 191.5, Sum(ms): 86.5, Avg(ms): 2.8, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 3.7, 99th(ms): 3.7, 99.9th(ms): 3.7, Max(ms): 3.7
[Current] PAYMENT - Takes(s): 10.0, Count: 348, TPM: 2089.5, Sum(ms): 3421.4, Avg(ms): 9.8, 50th(ms): 8.9, 90th(ms): 12.6, 95th(ms): 15.7, 99th(ms): 30.4, 99.9th(ms): 50.3, Max(ms): 50.3
[Current] STOCK_LEVEL - Takes(s): 9.5, Count: 32, TPM: 202.6, Sum(ms): 85.4, Avg(ms): 2.6, 50th(ms): 2.6, 90th(ms): 3.1, 95th(ms): 3.1, 99th(ms): 6.3, 99.9th(ms): 6.3, Max(ms): 6.3
[Current] DELIVERY - Takes(s): 9.9, Count: 36, TPM: 217.8, Sum(ms): 756.1, Avg(ms): 21.0, 50th(ms): 21.0, 90th(ms): 23.1, 95th(ms): 25.2, 99th(ms): 44.0, 99.9th(ms): 44.0, Max(ms): 44.0
[Current] NEW_ORDER - Takes(s): 10.0, Count: 356, TPM: 2139.0, Sum(ms): 5073.8, Avg(ms): 14.3, 50th(ms): 13.6, 90th(ms): 17.8, 95th(ms): 21.0, 99th(ms): 46.1, 99.9th(ms): 50.3, Max(ms): 50.3
